sku,name_en,name_zh,description_en,description_zh,price,categories,image_files,primary_image,active
MB-001,Makeup Bag Blue Bear,藍色小熊化妝包,"Adorable blue bear print makeup bag, a compact cosmetic pouch ideal for travel and daily organization. Lightweight and durable with a secure zip closure.",可愛藍色小熊圖案化妝包，適合旅行與日常整理。,35,makeup-bags,blue-bear-front.jpg,blue-bear-front.jpg,yes
MB-002,Makeup Bag Ribbon Charm,粉紅色蝴蝶結化妝包,"Adorable pink ribbon print makeup bag, a compact cosmetic pouch ideal for travel and daily organization. Lightweight and durable with a secure zip closure.",可愛粉紅色蝴蝶結圖案化妝包，適合旅行與日常整理。,35,makeup-bags,ribbon-charm-front.jpg,ribbon-charm-front.jpg,yes
MB-003,Makeup Bag Pink Blossoms,粉紅色碎花化妝包,"Adorable floral print makeup bag, a compact cosmetic pouch ideal for travel and daily organization. Lightweight and durable with a secure zip closure.",可愛粉紅色碎花圖案化妝包，適合旅行與日常整理。,35,makeup-bags,pink-blossoms-front.jpg,pink-blossoms-front.jpg,yes
MB-004,Makeup Bag Vintage Garden,復古花園化妝包,"Vintage garden floral makeup bag with timeless style, a practical cosmetic organizer for travel and everyday use.",復古花園風格，兼具時尚感與實用收納功能。,35,makeup-bags,vintage-garden-front.jpg,vintage-garden-front.jpg,yes
MB-005,Makeup Bag Cinnamoroll,肉桂狗化妝包,"Adorable cinnamoroll print makeup bag, a compact cosmetic pouch ideal for travel and daily organization. Lightweight and durable with a secure zip closure.",可愛肉桂狗圖案化妝包，適合旅行與日常整理。,35,makeup-bags,,,yes
MB-006,Makeup Bag Fluffy Cat,藍色小貓化妝包,"Adorable cat print makeup bag, a compact cosmetic pouch ideal for travel and daily organization. Lightweight and durable with a secure zip closure.",可愛藍色小貓圖案化妝包，適合旅行與日常整理。,35,makeup-bags,fluffy-cat-front.jpg,fluffy-cat-front.jpg,yes
MB-007,Makeup Bag Teddy Dot,波點小熊化妝包,"Adorable bear print makeup bag, a compact cosmetic pouch ideal for travel and daily organization. Lightweight and durable with a secure zip closure.",可愛波點小熊圖案化妝包，適合旅行與日常整理。,35,makeup-bags,teddy-dot-front.jpg,teddy-dot-front.jpg,yes
MB-008,Makeup Bag Quilt Bloom,灰色碎花化妝包,"Adorable floral print makeup bag, a compact cosmetic pouch ideal for travel and daily organization. Lightweight and durable with a secure zip closure.",可愛灰色碎花圖案化妝包，適合旅行與日常整理。,35,makeup-bags,quilt-bloom-front.jpg,quilt-bloom-front.jpg,yes
MB-009,Makeup Bag Soft Cloud,藍色暗花化妝包,"Adorable floral print makeup bag, a compact cosmetic pouch ideal for travel and daily organization. Lightweight and durable with a secure zip closure.",低調藍色暗花圖案化妝包，適合旅行與日常整理。,35,makeup-bags,soft-cloud-front.jpg,soft-cloud-front.jpg,yes
MB-010,Makeup Bag Golden Teddy,燈芯絨小熊化妝包,"Adorable bear print makeup bag, a compact cosmetic pouch ideal for travel and daily organization. Lightweight and durable with a secure zip closure.",可愛燈芯絨小熊圖案化妝包，適合旅行與日常整理。,35,makeup-bags,golden-teddy-front.jpg,golden-teddy-front.jpg,yes
MB-011,Makeup Bag Pink Bows,蝴蝶結碎花化妝包,"Adorable floral print makeup bag, a compact cosmetic pouch ideal for travel and daily organization. Lightweight and durable with a secure zip closure.",可愛蝴蝶結碎花化妝包，適合旅行與日常整理。,35,makeup-bags,pink-bows-front.jpg,pink-bows-front.jpg,yes
MB-012,Makeup Bag Pastel Stripes,淡粉色暗花化妝包,"Adorable floral print makeup bag, a compact cosmetic pouch ideal for travel and daily organization. Lightweight and durable with a secure zip closure.",低調淡粉色暗花圖案化妝包，適合旅行與日常整理。,35,makeup-bags,pastel-stripes-front.jpg,pastel-stripes-front.jpg,yes
TC-001,Tissue Box Cover Blue Life Bread,藍色生命麵包紙巾套,"Nostalgic Hong Kong print tissue box cover, perfect for your living room, office, or bedroom.",懷舊香港印花紙巾盒套，為客廳、辦公室或睡房增添一份香港情懷。,30,hk-tissue-box-covers,tissue-box-cover-blue-life-bread.jpg,tissue-box-cover-blue-life-bread.jpg,yes
TC-002,Tissue Box Cover Green Life Bread,綠色生命麵包紙巾套,"Nostalgic Hong Kong print tissue box cover, perfect for your living room, office, or bedroom.",懷舊香港印花紙巾盒套，為客廳、辦公室或睡房增添一份香港情懷。,30,hk-tissue-box-covers,tissue-box-cover-green-life-bread.jpg,tissue-box-cover-green-life-bread.jpg,yes
TC-003,Tissue Box Cover Demae Iccho,出前一丁紙巾套,"Nostalgic Hong Kong print tissue box cover, perfect for your living room, office, or bedroom.",懷舊香港印花紙巾盒套，為客廳、辦公室或睡房增添一份香港情懷。,30,hk-tissue-box-covers,tissue-box-cover-demae-iccho.jpg,tissue-box-cover-demae-iccho.jpg,yes
TC-004,Tissue Box Cover White Rabbit Candy,白兔糖紙巾套,"Nostalgic Hong Kong print tissue box cover, perfect for your living room, office, or bedroom.",懷舊香港印花紙巾盒套，為客廳、辦公室或睡房增添一份香港情懷。,30,hk-tissue-box-covers,tissue-box-cover-white-rabbit-candy.jpg,tissue-box-cover-white-rabbit-candy.jpg,yes
TC-005,Tissue Box Cover Aeroplane Chess,飛行棋紙巾套,"Nostalgic Hong Kong print tissue box cover, perfect for your living room, office, or bedroom.",懷舊香港印花紙巾盒套，為客廳、辦公室或睡房增添一份香港情懷。,30,hk-tissue-box-covers,tissue-box-cover-aeroplane-chess.jpg,tissue-box-cover-aeroplane-chess.jpg,yes
TC-006,Tissue Box Cover MTR Station,香港地鐵主題紙巾套,"Nostalgic Hong Kong print tissue box cover, perfect for your living room, office, or bedroom.",懷舊香港印花紙巾盒套，為客廳、辦公室或睡房增添一份香港情懷。,30,hk-tissue-box-covers,tissue-box-cover-mtr-station.jpg,tissue-box-cover-mtr-station.jpg,yes
TC-007,Tissue Box Cover Red White Blue Bag R,紅色紅白藍紙巾套,"Nostalgic Hong Kong print tissue box cover, perfect for your living room, office, or bedroom.",懷舊香港印花紙巾盒套，為客廳、辦公室或睡房增添一份香港情懷。,30,hk-tissue-box-covers,tissue-box-cover-red-white-blue-bag-r.jpg,tissue-box-cover-red-white-blue-bag-r.jpg,yes
TC-008,Tissue Box Cover Red White Blue Bag B,藍色紅白藍紙巾套,"Nostalgic Hong Kong print tissue box cover, perfect for your living room, office, or bedroom.",懷舊香港印花紙巾盒套，為客廳、辦公室或睡房增添一份香港情懷。,30,hk-tissue-box-covers,tissue-box-cover-red-white-blue-bag-b.jpg,tissue-box-cover-red-white-blue-bag-b.jpg,yes
TC-009,Tissue Box Cover Red White Blue Bag S,直間紅白藍紙巾套,"Nostalgic Hong Kong print tissue box cover, perfect for your living room, office, or bedroom.",懷舊香港印花紙巾盒套，為客廳、辦公室或睡房增添一份香港情懷。,30,hk-tissue-box-covers,tissue-box-cover-red-white-blue-bag-s.jpg,tissue-box-cover-red-white-blue-bag-s.jpg,yes
TC-010,Tissue Box Cover Cha Chaan Teng,茶餐廳主題紙巾套,"Nostalgic Hong Kong print tissue box cover, perfect for your living room, office, or bedroom.",懷舊香港印花紙巾盒套，為客廳、辦公室或睡房增添一份香港情懷。,30,hk-tissue-box-covers,tissue-box-cover-cha-chaan-teng.jpg,tissue-box-cover-cha-chaan-teng.jpg,yes
TC-011,Tissue Box Cover Street Name Sign,香港招牌主題紙巾套,"Nostalgic Hong Kong print tissue box cover, perfect for your living room, office, or bedroom.",懷舊香港印花紙巾盒套，為客廳、辦公室或睡房增添一份香港情懷。,30,hk-tissue-box-covers,tissue-box-cover-street-name-sign.jpg,tissue-box-cover-street-name-sign.jpg,yes
TC-012,Tissue Box Cover Old Hong Kong,舊香港主題紙巾套,"Nostalgic Hong Kong print tissue box cover, perfect for your living room, office, or bedroom.",懷舊香港印花紙巾盒套，為客廳、辦公室或睡房增添一份香港情懷。,30,hk-tissue-box-covers,tissue-box-cover-old-hong-kong.jpg,tissue-box-cover-old-hong-kong.jpg,yes
TC-013,Tissue Box Cover Canada,加拿大主題紙巾套,"Celebrate Canada every day with this charming tissue box cover, perfect for your living room, office, or bedroom.",充滿加拿大特色的紙巾盒套，為客廳、辦公室或睡房增添一份溫暖的加拿大風情。,30,hk-tissue-box-covers,tissue-box-cover-canada.jpg,tissue-box-cover-canada.jpg,yes
MP-001,Mini Pouch Blue Life Bread,藍色生命麵包散子包,"Nostalgic Hong Kong print mini pouch, perfect for storing coins, earbuds, lip balm, keys, cards, hair clips, medication, and other everyday essentials.",懷舊香港印花迷你收納袋，適合存放零錢、耳機、潤唇膏、鑰匙、卡片、髮夾、藥物及其他日常小物。,24,hk-coin-pouches,mini-pouch-blue-life-bread.jpg,mini-pouch-blue-life-bread.jpg,yes
MP-002,Mini Pouch Demae Iccho,出前一丁散子包,"Nostalgic Hong Kong print mini pouch, perfect for storing coins, earbuds, lip balm, keys, cards, hair clips, medication, and other everyday essentials.",懷舊香港印花迷你收納袋，適合存放零錢、耳機、潤唇膏、鑰匙、卡片、髮夾、藥物及其他日常小物。,24,hk-coin-pouches,mini-pouch-demae-iccho.jpg,mini-pouch-demae-iccho.jpg,yes
MP-003,Mini Pouch White Rabbit Candy,白兔糖散子包,"Nostalgic Hong Kong print mini pouch, perfect for storing coins, earbuds, lip balm, keys, cards, hair clips, medication, and other everyday essentials.",懷舊香港印花迷你收納袋，適合存放零錢、耳機、潤唇膏、鑰匙、卡片、髮夾、藥物及其他日常小物。,24,hk-coin-pouches,mini-pouch-white-rabbit-candy.jpg,mini-pouch-white-rabbit-candy.jpg,yes
MP-004,Mini Pouch Aeroplane Chess,飛行棋散子包,"Nostalgic Hong Kong print mini pouch, perfect for storing coins, earbuds, lip balm, keys, cards, hair clips, medication, and other everyday essentials.",懷舊香港印花迷你收納袋，適合存放零錢、耳機、潤唇膏、鑰匙、卡片、髮夾、藥物及其他日常小物。,24,hk-coin-pouches,mini-pouch-aeroplane-chess.jpg,mini-pouch-aeroplane-chess.jpg,yes
MP-005,Mini Pouch MTR Station,香港地鐵主題散子包,"Nostalgic Hong Kong print mini pouch, perfect for storing coins, earbuds, lip balm, keys, cards, hair clips, medication, and other everyday essentials.",懷舊香港印花迷你收納袋，適合存放零錢、耳機、潤唇膏、鑰匙、卡片、髮夾、藥物及其他日常小物。,24,hk-coin-pouches,mini-pouch-mtr-station.jpg,mini-pouch-mtr-station.jpg,yes
MP-006,Mini Pouch Red White Blue Bag R,紅色紅白藍散子包,"Nostalgic Hong Kong print mini pouch, perfect for storing coins, earbuds, lip balm, keys, cards, hair clips, medication, and other everyday essentials.",懷舊香港印花迷你收納袋，適合存放零錢、耳機、潤唇膏、鑰匙、卡片、髮夾、藥物及其他日常小物。,24,hk-coin-pouches,mini-pouch-red-white-blue-bag-r.jpg,mini-pouch-red-white-blue-bag-r.jpg,yes
MP-007,Mini Pouch Red White Blue Bag B,藍色紅白藍散子包,"Nostalgic Hong Kong print mini pouch, perfect for storing coins, earbuds, lip balm, keys, cards, hair clips, medication, and other everyday essentials.",懷舊香港印花迷你收納袋，適合存放零錢、耳機、潤唇膏、鑰匙、卡片、髮夾、藥物及其他日常小物。,24,hk-coin-pouches,mini-pouch-red-white-blue-bag-b.jpg,mini-pouch-red-white-blue-bag-b.jpg,yes
MP-008,Mini Pouch Red White Blue Bag S,直間紅白藍散子包,"Nostalgic Hong Kong print mini pouch, perfect for storing coins, earbuds, lip balm, keys, cards, hair clips, medication, and other everyday essentials.",懷舊香港印花迷你收納袋，適合存放零錢、耳機、潤唇膏、鑰匙、卡片、髮夾、藥物及其他日常小物。,24,hk-coin-pouches,mini-pouch-red-white-blue-bag-s.jpg,mini-pouch-red-white-blue-bag-s.jpg,yes
MP-009,Mini Pouch Cha Chaan Teng,茶餐廳主題散子包,"Nostalgic Hong Kong print mini pouch, perfect for storing coins, earbuds, lip balm, keys, cards, hair clips, medication, and other everyday essentials.",懷舊香港印花迷你收納袋，適合存放零錢、耳機、潤唇膏、鑰匙、卡片、髮夾、藥物及其他日常小物。,24,hk-coin-pouches,mini-pouch-cha-chaan-teng.jpg,mini-pouch-cha-chaan-teng.jpg,yes
MP-010,Mini Pouch Street Name Sign,香港招牌主題散子包,"Nostalgic Hong Kong print mini pouch, perfect for storing coins, earbuds, lip balm, keys, cards, hair clips, medication, and other everyday essentials.",懷舊香港印花迷你收納袋，適合存放零錢、耳機、潤唇膏、鑰匙、卡片、髮夾、藥物及其他日常小物。,24,hk-coin-pouches,mini-pouch-street-name-sign.jpg,mini-pouch-street-name-sign.jpg,yes
MP-011,Mini Pouch Old Hong Kong,舊香港主題散子包,"Nostalgic Hong Kong print mini pouch, perfect for storing coins, earbuds, lip balm, keys, cards, hair clips, medication, and other everyday essentials.",懷舊香港印花迷你收納袋，適合存放零錢、耳機、潤唇膏、鑰匙、卡片、髮夾、藥物及其他日常小物。,24,hk-coin-pouches,mini-pouch-old-hong-kong.jpg,mini-pouch-old-hong-kong.jpg,yes
MP-012,Mini Pouch Canada,加拿大主題散子包,"Celebrate Canada every day with this charming mini pouch, perfect for storing coins, earbuds, lip balm, keys, cards, hair clips, medication, and other everyday essentials.",充滿加拿大特色的迷你收納袋，適合存放零錢、耳機、潤唇膏、鑰匙、卡片、髮夾、藥物及其他日常小物。,24,hk-coin-pouches,mini-pouch-canada.jpg,mini-pouch-canada.jpg,yes
